2023-05-30 21:58:11 status half-installed libdrm-amdgpu1:amd64 2.4.107-8ubuntu1~20.04.2
2023-05-30 21:58:11 status unpacked libdrm-amdgpu1:amd64 2.4.107-8ubuntu1~20.04.2
2023-05-30 21:58:11 install libpciaccess0:amd64 <none> 0.16-0ubuntu1
2023-05-30 21:58:11 status half-installed libpciaccess0:amd64 0.16-0ubuntu1
2023-05-30 21:58:11 status unpacked libpciaccess0:amd64 0.16-0ubuntu1
2023-05-30 21:58:11 install libdrm-intel1:amd64 <none> 2.4.107-8ubuntu1~20.04.2
2023-05-30 21:58:11 status half-installed libdrm-intel1:amd64 2.4.107-8ubuntu1~20.04.2
2023-05-30 21:58:11 status unpacked libdrm-intel1:amd64 2.4.107-8ubuntu1~20.04.2
2023-05-30 21:58:11 install libdrm-nouveau2:amd64 <none> 2.4.107-8ubuntu1~20.04.2
2023-05-30 21:58:11 status half-installed libdrm-nouveau2:amd64 2.4.107-8ubuntu1~20.04.2
2023-05-30 21:58:11 status unpacked libdrm-nouveau2:amd64 2.4.107-8ubuntu1~20.04.2
2023-05-30 21:58:11 install libdrm-radeon1:amd64 <none> 2.4.107-8ubuntu1~20.04.2
2023-05-30 21:58:11 status half-installed libdrm-radeon1:amd64 2.4.107-8ubuntu1~20.04.2
2023-05-30 21:58:11 status unpacked libdrm-radeon1:amd64 2.4.107-8ubuntu1~20.04.2
2023-05-30 21:58:11 install libflac8:amd64 <none> 1.3.3-1ubuntu0.1
2023-05-30 21:58:11 status half-installed libflac8:amd64 1.3.3-1ubuntu0.1
2023-05-30 21:58:11 status unpacked libflac8:amd64 1.3.3-1ubuntu0.1
2023-05-30 21:58:11 install libfontconfig1:amd64 <none> 2.13.1-2ubuntu3
2023-05-30 21:58:11 status half-installed libfontconfig1:amd64 2.13.1-2ubuntu3
2023-05-30 21:58:11 status unpacked libfontconfig1:amd64 2.13.1-2ubuntu3
2023-05-30 21:58:11 install libfontenc1:amd64 <none> 1:1.1.4-0ubuntu1
2023-05-30 21:58:11 status half-installed libfontenc1:amd64 1:1.1.4-0ubuntu1
2023-05-30 21:58:11 status unpacked libfontenc1:amd64 1:1.1.4-0ubuntu1
2023-05-30 21:58:11 install libglapi-mesa:amd64 <none> 21.2.6-0ubuntu0.1~20.04.2
2023-05-30 21:58:11 status half-installed libglapi-mesa:amd64 21.2.6-0ubuntu0.1~20.04.2
2023-05-30 21:58:11 status unpacked libglapi-mesa:amd64 21.2.6-0ubuntu0.1~20.04.2
2023-05-30 21:58:11 install libllvm12:amd64 <none> 1:12.0.0-3ubuntu1~20.04.5
2023-05-30 21:58:11 status half-installed libllvm12:amd64 1:12.0.0-3ubuntu1~20.04.5
2023-05-30 21:58:12 status unpacked libllvm12:amd64 1:12.0.0-3ubuntu1~20.04.5
2023-05-30 21:58:12 install libsensors-config:all <none> 1:3.6.0-2ubuntu1.1
2023-05-30 21:58:12 status half-installed libsensors-config:all 1:3.6.0-2ubuntu1.1
2023-05-30 21:58:12 status unpacked libsensors-config:all 1:3.6.0-2ubuntu1.1
2023-05-30 21:58:12 install libsensors5:amd64 <none> 1:3.6.0-2ubuntu1.1
2023-05-30 21:58:12 status half-installed libsensors5:amd64 1:3.6.0-2ubuntu1.1
2023-05-30 21:58:12 status unpacked libsensors5:amd64 1:3.6.0-2ubuntu1.1
2023-05-30 21:58:13 install libvulkan1:amd64 <none> 1.2.131.2-1
2023-05-30 21:58:13 status half-installed libvulkan1:amd64 1.2.131.2-1
2023-05-30 21:58:13 status unpacked libvulkan1:amd64 1.2.131.2-1
2023-05-30 21:58:13 install libgl1-mesa-dri:amd64 <none> 21.2.6-0ubuntu0.1~20.04.2
2023-05-30 21:58:13 status half-installed libgl1-mesa-dri:amd64 21.2.6-0ubuntu0.1~20.04.2
2023-05-30 21:58:13 status unpacked libgl1-mesa-dri:amd64 21.2.6-0ubuntu0.1~20.04.2
2023-05-30 21:58:13 install libx11-xcb1:amd64 <none> 2:1.6.9-2ubuntu1.2
2023-05-30 21:58:13 status half-installed libx11-xcb1:amd64 2:1.6.9-2ubuntu1.2
2023-05-30 21:58:13 status unpacked libx11-xcb1:amd64 2:1.6.9-2ubuntu1.2
2023-05-30 21:58:13 install libxcb-dri2-0:amd64 <none> 1.14-2
2023-05-30 21:58:13 status half-installed libxcb-dri2-0:amd64 1.14-2
2023-05-30 21:58:13 status unpacked libxcb-dri2-0:amd64 1.14-2
2023-05-30 21:58:13 install libxcb-dri3-0:amd64 <none> 1.14-2
2023-05-30 21:58:13 status half-installed libxcb-dri3-0:amd64 1.14-2
2023-05-30 21:58:13 status unpacked libxcb-dri3-0:amd64 1.14-2
2023-05-30 21:58:14 install libxcb-glx0:amd64 <none> 1.14-2
2023-05-30 21:58:14 status half-installed libxcb-glx0:amd64 1.14-2
2023-05-30 21:58:14 status unpacked libxcb-glx0:amd64 1.14-2
2023-05-30 21:58:14 install libxcb-present0:amd64 <none> 1.14-2
2023-05-30 21:58:14 status half-installed libxcb-present0:amd64 1.14-2
2023-05-30 21:58:14 status unpacked libxcb-present0:amd64 1.14-2
2023-05-30 21:58:14 install libxcb-shm0:amd64 <none> 1.14-2
2023-05-30 21:58:14 status half-installed libxcb-shm0:amd64 1.14-2
2023-05-30 21:58:14 status unpacked libxcb-shm0:amd64 1.14-2
2023-05-30 21:58:14 install libxcb-sync1:amd64 <none> 1.14-2
2023-05-30 21:58:14 status half-installed libxcb-sync1:amd64 1.14-2
2023-05-30 21:58:14 status unpacked libxcb-sync1:amd64 1.14-2
2023-05-30 21:58:14 install libxcb-xfixes0:amd64 <none> 1.14-2
2023-05-30 21:58:14 status half-installed libxcb-xfixes0:amd64 1.14-2
2023-05-30 21:58:14 status unpacked libxcb-xfixes0:amd64 1.14-2
2023-05-30 21:58:14 install libxfixes3:amd64 <none> 1:5.0.3-2
2023-05-30 21:58:14 status half-installed libxfixes3:amd64 1:5.0.3-2
2023-05-30 21:58:14 status unpacked libxfixes3:amd64 1:5.0.3-2
2023-05-30 21:58:14 install libxshmfence1:amd64 <none> 1.3-1
2023-05-30 21:58:14 status half-installed libxshmfence1:amd64 1.3-1
2023-05-30 21:58:14 status unpacked libxshmfence1:amd64 1.3-1
2023-05-30 21:58:14 install libxxf86vm1:amd64 <none> 1:1.1.4-1build1
2023-05-30 21:58:14 status half-installed libxxf86vm1:amd64 1:1.1.4-1build1
2023-05-30 21:58:14 status unpacked libxxf86vm1:amd64 1:1.1.4-1build1
2023-05-30 21:58:14 install libglx-mesa0:amd64 <none> 21.2.6-0ubuntu0.1~20.04.2
2023-05-30 21:58:14 status half-installed libglx-mesa0:amd64 21.2.6-0ubuntu0.1~20.04.2
2023-05-30 21:58:14 status unpacked libglx-mesa0:amd64 21.2.6-0ubuntu0.1~20.04.2
2023-05-30 21:58:14 install x11-common:all <none> 1:7.7+19ubuntu14
2023-05-30 21:58:14 status half-installed x11-common:all 1:7.7+19ubuntu14
2023-05-30 21:58:14 status triggers-pending systemd:amd64 245.4-4ubuntu3.21
2023-05-30 21:58:14 status unpacked x11-common:all 1:7.7+19ubuntu14
2023-05-30 21:58:14 install libice6:amd64 <none> 2:1.0.10-0ubuntu1
2023-05-30 21:58:14 status half-installed libice6:amd64 2:1.0.10-0ubuntu1
2023-05-30 21:58:14 status unpacked libice6:amd64 2:1.0.10-0ubuntu1
2023-05-30 21:58:14 install libvorbisenc2:amd64 <none> 1.3.6-2ubuntu1
2023-05-30 21:58:14 status half-installed libvorbisenc2:amd64 1.3.6-2ubuntu1
2023-05-30 21:58:14 status unpacked libvorbisenc2:amd64 1.3.6-2ubuntu1
2023-05-30 21:58:14 install libsndfile1:amd64 <none> 1.0.28-7ubuntu0.1
2023-05-30 21:58:14 status half-installed libsndfile1:amd64 1.0.28-7ubuntu0.1
2023-05-30 21:58:14 status unpacked libsndfile1:amd64 1.0.28-7ubuntu0.1
2023-05-30 21:58:14 install libpulse0:amd64 <none> 1:13.99.1-1ubuntu3.13
